filename,md5sum,isodate
IAVH9N2_HA_step1.aa.fa,fad02261c77faefb89314f70e5ce738c,2024-08-15
IAVH9N2_HA_step1.accn.txt,2f0c597994147f1842d99970ea3a416d,2024-08-15
IAVH9N2_HA_step1.cds.fa,2be00d9ab43d454998da65412e561523,2024-08-15
IAVH9N2_HA_step1.meta.csv,8c3710a38f20173e7ed2e66a0c294f7a,2024-08-15
IAVH9N2_M1M2_step1.aa.fa,6764cd7b2dae8e3539dd8680d3b07e3f,2024-08-15
IAVH9N2_M1M2_step1.accn.txt,65f4a24a5056860c204b1690ceb4a22b,2024-08-15
IAVH9N2_M1M2_step1.cds.fa,2df321b11aaccbfb41ca7edd4ae82d84,2024-08-15
IAVH9N2_M1M2_step1.meta.csv,fb66d89593fa8c8bc72c6a2e76034fb3,2024-08-15
IAVH9N2_NA_step1.aa.fa,c499be6fec46acfb1702f90818c5c889,2024-08-15
IAVH9N2_NA_step1.accn.txt,999f0f3f390ebbb868de03db93a4a512,2024-08-15
IAVH9N2_NA_step1.cds.fa,8ace6fbd17ca2b478a4bc49d598c97f1,2024-08-15
IAVH9N2_NA_step1.meta.csv,db28718bbc62c53d2cdbe198cb40ce20,2024-08-15
IAVH9N2_NP_step1.aa.fa,b831c0d35f36fd626069736555550409,2024-08-15
IAVH9N2_NP_step1.accn.txt,6a274dce81cd12da5542025408c49c30,2024-08-15
IAVH9N2_NP_step1.cds.fa,c77aff8ba6fff3662bc77a419dde00b3,2024-08-15
IAVH9N2_NP_step1.meta.csv,3d5977593624609922e60bd30d9e51be,2024-08-15
IAVH9N2_NS1NS2_step1.aa.fa,b666fb346ad599213f9da11760de76d5,2024-08-15
IAVH9N2_NS1NS2_step1.accn.txt,4aa877ee62be1766de836532ff81d753,2024-08-15
IAVH9N2_NS1NS2_step1.cds.fa,7cbfb6dae8b7ac544ac4b09de48abb92,2024-08-15
IAVH9N2_NS1NS2_step1.meta.csv,4d3c6e4a7e78584a25e455e2f4a0de5c,2024-08-15
IAVH9N2_PA_step1.aa.fa,6f9a1d201e3399f6d7a70845d2e577f4,2024-08-15
IAVH9N2_PA_step1.accn.txt,affd1135f16b5726d6cabbd1907111d5,2024-08-15
IAVH9N2_PA_step1.cds.fa,3c0f5142f1a343586b23e4bed4488d60,2024-08-15
IAVH9N2_PA_step1.meta.csv,f43f300abb941c75c24a76b4e21ce04a,2024-08-15
IAVH9N2_PB1_step1.aa.fa,a751f7e9327d7b4b2f516dfb282fca7c,2024-08-15
IAVH9N2_PB1_step1.accn.txt,02552e12af2042ce913fe4cfe2bfa9fb,2024-08-15
IAVH9N2_PB1_step1.cds.fa,cd4dc60df9a61ab59d57df2d8aa0ed6c,2024-08-15
IAVH9N2_PB1_step1.meta.csv,bf6ee80d3a5eb68d3029aa02a871f265,2024-08-15
IAVH9N2_PB2_step1.aa.fa,5bca5fcce834116e60fec291308217d0,2024-08-15
IAVH9N2_PB2_step1.accn.txt,30f191000dac386522342fd9390258ec,2024-08-15
IAVH9N2_PB2_step1.cds.fa,84388893fee901fdc278f0409e72b1f8,2024-08-15
IAVH9N2_PB2_step1.meta.csv,60fe85f625911b5f0edbb75f86ef8880,2024-08-15
