virus,protein,step 4,step 5
chikv,6K_protein,Y,Y
chikv,capsid_protein,Y,Y
chikv,E1_envelope_glycoprotein,Y,Y
chikv,E2_envelope_glycoprotein,Y,Y
chikv,E3_protein,Y,Y
chikv,mRNA-capping_enzyme_nsp1,Y,Y
chikv,non-structural_protein_nsp3,Y,Y
chikv,protease_nsp2,O,Y  (should be omitted)
chikv,RNA-directed_RNA_polymerase_nsp4,O,Y (should be omitted)
chikv,transframe_fusion_protein,O,Y (should be omitted)
coxsacki,2A-protein,Y,Y
coxsacki,2B-protein,Y,Y
coxsacki,2C-protein,Y,Y
coxsacki,3A-protein,Y,Y
coxsacki,3B-protein,Y,Y
coxsacki,3C-protein,Y,Y
coxsacki,3D-protein,Y,Y
coxsacki,VP1-protein,Y,Y
coxsacki,VP2-protein,Y,Y
coxsacki,VP3-protein,Y,Y
coxsacki,VP4-protein,Y,Y
dengue2,anchored_capsid_protein_ancC,Y,Y
dengue2,capsid_protein_C,Y,Y
dengue2,envelope_protein_E,Y,Y
dengue2,membrane_glycoprotein_M,Y,Y
dengue2,membrane_glycoprotein_precursor_prM,Y,Y
dengue2,nonstructural_protein_NS1,Y,Y
dengue2,nonstructural_protein_NS2A,Y,Y
dengue2,nonstructural_protein_NS2B,Y,Y
dengue2,nonstructural_protein_NS3,Y,Y
dengue2,nonstructural_protein_NS4A,Y,Y
dengue2,nonstructural_protein_NS4B,Y,Y
dengue2,protein_2K,Y,Y
dengue2,protein_pr,Y,Y
dengue2,RNA-dependent_RNA_polymerase_NS5,Y,Y
enterov1,A71_2A,Y,Y
enterov1,A71_2B,Y,Y
enterov1,A71_2C,Y,Y
enterov1,A71_3A,Y,Y
enterov1,A71_3B,Y,Y
enterov1,A71_3C,Y,Y
enterov1,A71_3D,Y,Y
enterov1,A71_VP1,Y,Y
enterov1,A71_VP2,Y,Y
enterov1,A71_VP3,Y,Y
enterov1,A71_VP4,Y,Y
Foveavirus,coat_protein,N,Y
Foveavirus,RNA_polymerase,N ,Y
Foveavirus,triple_gene_block_1,N ,Y
Foveavirus,triple_gene_block_2,N,Y
Foveavirus,triple_gene_block_3,N,Y
HCV1a,core,Y,Y
HCV1a,E1,Y,Y
HCV1a,E2,Y,Y
HCV1a,NS2,Y,Y
HCV1a,NS3,Y,Y
HCV1a,NS4A,Y,Y
HCV1a,NS4B,Y,Y
HCV1a,NS5A,Y,Y
HCV1a,NS5B,Y,Y
HCV1a,p7,Y,Y
HepA,1A-VP4a-mature-peptide-alt,O,Y
HepA,1A-VP4b-mature-peptide-alt,O,Y
HepA,1B-VP2-mature-peptide,O,Y
HepA,1C-VP3-mature-peptide,O,Y
HepA,1D-VP1-mature-peptide,O,Y
HepA,2A-mature-peptide,O,Y
HepA,2B-mature-peptide,O,Y
HepA,2C-mature-peptide,O,Y
HepA,3A-mature-peptide,O,Y
HepA,3B-VPg-mature-peptide,O,Y
HepA,3C-mature-peptide,O,Y
HepA,3D-mature-peptide,O,Y
HIV1A1,Gag,Y,Y
HIV1A1,gp160,Y,Y
HIV1A1,Nef,Y,Y
