virus,abbrv,family,enveloped,vector,chronic,plant,contact,emerging,fecaloral,protein,short,exposed,polymerase,protease,structural
chikv,CHIKV,Togaviridae,T,T,F,F,F,T,F,6K protein,6K,F,F,F,T
chikv,CHIKV,Togaviridae,T,T,F,F,F,T,F,capsid protein,CA,F,F,F,T
chikv,CHIKV,Togaviridae,T,T,F,F,F,T,F,E1 envelope glycoprotein,E1,T,F,F,T
chikv,CHIKV,Togaviridae,T,T,F,F,F,T,F,E2 envelope glycoprotein,E2,T,F,F,T
chikv,CHIKV,Togaviridae,T,T,F,F,F,T,F,E3 protein,E3,T,F,F,T
chikv,CHIKV,Togaviridae,T,T,F,F,F,T,F,mRNA-capping enzyme nsp1,nsp1,F,F,F,F
chikv,CHIKV,Togaviridae,T,T,F,F,F,T,F,non-structural protein nsp3,nsp3,F,F,F,F
coxsacki,CA16,Picornaviridae,F,F,F,F,F,T,T,2A-protein,2A,F,F,T,F
coxsacki,CA16,Picornaviridae,F,F,F,F,F,T,T,2B-protein,2B,F,F,F,F
coxsacki,CA16,Picornaviridae,F,F,F,F,F,T,T,2C-protein,3C,F,F,F,F
coxsacki,CA16,Picornaviridae,F,F,F,F,F,T,T,3AB-protein,3AB,F,F,F,F
coxsacki,CA16,Picornaviridae,F,F,F,F,F,T,T,3C-protein,3C,F,F,T,F
coxsacki,CA16,Picornaviridae,F,F,F,F,F,T,T,3D-protein,3D,F,T,F,F
coxsacki,CA16,Picornaviridae,F,F,F,F,F,T,T,VP1-protein,VP1,T,F,F,T
coxsacki,CA16,Picornaviridae,F,F,F,F,F,T,T,VP2-protein,VP2,T,F,F,T
coxsacki,CA16,Picornaviridae,F,F,F,F,F,T,T,VP3-protein,VP3,T,F,F,T
coxsacki,CA16,Picornaviridae,F,F,F,F,F,T,T,VP4-protein,VP4,F,F,F,T
dengue2,DENV,Flaviviridae,T,T,F,F,F,T,F,anchored capsid protein ancC,CA,F,F,F,T
dengue2,DENV,Flaviviridae,T,T,F,F,F,T,F,envelope protein E,E,T,F,F,T
dengue2,DENV,Flaviviridae,T,T,F,F,F,T,F,membrane glycoprotein precursor prM,prM,T,F,F,T
dengue2,DENV,Flaviviridae,T,T,F,F,F,T,F,nonstructural protein NS1,NS1,T,F,F,F
dengue2,DENV,Flaviviridae,T,T,F,F,F,T,F,nonstructural protein NS2A,NS2A,F,F,F,F
dengue2,DENV,Flaviviridae,T,T,F,F,F,T,F,nonstructural protein NS2B,NS2B,F,F,T,F
dengue2,DENV,Flaviviridae,T,T,F,F,F,T,F,nonstructural protein NS3,NS3,F,F,T,F
dengue2,DENV,Flaviviridae,T,T,F,F,F,T,F,nonstructural protein NS4A,NS4A,F,F,F,F
dengue2,DENV,Flaviviridae,T,T,F,F,F,T,F,nonstructural protein NS4B,NS4B,F,F,F,F
dengue2,DENV,Flaviviridae,T,T,F,F,F,T,F,RNA-dependent RNA polymerase NS5,RdRp,F,T,F,F
enteroA71,EV,Picornaviridae,F,F,F,F,F,T,T,2A,2A,F,F,T,F
enteroA71,EV,Picornaviridae,F,F,F,F,F,T,T,2B,2B,F,F,F,F
enteroA71,EV,Picornaviridae,F,F,F,F,F,T,T,2C,2C,F,F,F,F
enteroA71,EV,Picornaviridae,F,F,F,F,F,T,T,3AB,3AB,F,F,F,F
enteroA71,EV,Picornaviridae,F,F,F,F,F,T,T,3C,3C,F,F,T,F
enteroA71,EV,Picornaviridae,F,F,F,F,F,T,T,3D,3D,F,T,F,F
enteroA71,EV,Picornaviridae,F,F,F,F,F,T,T,VP1,VP1,T,F,F,T
enteroA71,EV,Picornaviridae,F,F,F,F,F,T,T,VP2,VP2,T,F,F,T
enteroA71,EV,Picornaviridae,F,F,F,F,F,T,T,VP3,VP3,T,F,F,T
enteroA71,EV,Picornaviridae,F,F,F,F,F,T,T,VP4,VP4,F,F,F,T
Foveavirus,ASPV,Betaflexiviridae,F,F,F,T,T,F,F,coat protein,CP,F,F,F,T
Foveavirus,ASPV,Betaflexiviridae,F,F,F,T,T,F,F,RNA polymerase,RdRp,F,T,F,F
Foveavirus,ASPV,Betaflexiviridae,F,F,F,T,T,F,F,triple gene block 1,TGB1,F,F,F,F
Foveavirus,ASPV,Betaflexiviridae,F,F,F,T,T,F,F,triple gene block 2,TGB2,F,F,F,F
Foveavirus,ASPV,Betaflexiviridae,F,F,F,T,T,F,F,triple gene block 3,TGB3,F,F,F,F
HCV1a,HCV,Flaviviridae,T,F,T,F,F,F,F,core,Core,F,F,F,T
HCV1a,HCV,Flaviviridae,T,F,T,F,F,F,F,E1,E1,T,F,F,T
HCV1a,HCV,Flaviviridae,T,F,T,F,F,F,F,E2,E2,T,F,F,T
HCV1a,HCV,Flaviviridae,T,F,T,F,F,F,F,NS2,NS2,F,F,T,F
HCV1a,HCV,Flaviviridae,T,F,T,F,F,F,F,NS3,NS3,F,F,T,F
HCV1a,HCV,Flaviviridae,T,F,T,F,F,F,F,NS4A,NS4A,F,F,T,F
HCV1a,HCV,Flaviviridae,T,F,T,F,F,F,F,NS4B,NS4B,F,F,F,F
HCV1a,HCV,Flaviviridae,T,F,T,F,F,F,F,NS5A,NS5A,F,F,F,F
HCV1a,HCV,Flaviviridae,T,F,T,F,F,F,F,NS5B,RdRp,F,T,F,F
HCV1a,HCV,Flaviviridae,T,F,T,F,F,F,F,p7,p7,F,F,F,F
HepA,HAV,Picornaviridae,F,F,F,F,F,F,T,1B-VP2-mature-peptide,VP2,T,F,F,T
HepA,HAV,Picornaviridae,F,F,F,F,F,F,T,1C-VP3-mature-peptide,VP3,T,F,F,T
HepA,HAV,Picornaviridae,F,F,F,F,F,F,T,1D-VP1-mature-peptide,VP1,T,F,F,T
HepA,HAV,Picornaviridae,F,F,F,F,F,F,T,2A-mature-peptide,2A,F,F,F,T
HepA,HAV,Picornaviridae,F,F,F,F,F,F,T,2B-mature-peptide,2B,F,F,F,F
HepA,HAV,Picornaviridae,F,F,F,F,F,F,T,2C-mature-peptide,2C,F,F,F,F
HepA,HAV,Picornaviridae,F,F,F,F,F,F,T,3A-mature-peptide,3A,F,F,F,F
HepA,HAV,Picornaviridae,F,F,F,F,F,F,T,3C-mature-peptide,3C,F,F,T,F
HepA,HAV,Picornaviridae,F,F,F,F,F,F,T,3D-mature-peptide,RdRp,F,T,F,F
HIV1A1,HIV1,Retroviridae,T,F,T,F,F,T,F,Gag,Gag,F,F,F,T
HIV1A1,HIV1,Retroviridae,T,F,T,F,F,T,F,gp120,gp120,T,F,F,T
HIV1A1,HIV1,Retroviridae,T,F,T,F,F,T,F,gp41,gp41,T,F,F,T
HIV1A1,HIV1,Retroviridae,T,F,T,F,F,T,F,Integrase,Int,F,F,F,F
HIV1A1,HIV1,Retroviridae,T,F,T,F,F,T,F,Nef,Nef,F,F,F,F
HIV1A1,HIV1,Retroviridae,T,F,T,F,F,T,F,PR,PR,F,F,T,F
HIV1A1,HIV1,Retroviridae,T,F,T,F,F,T,F,RNAse,RNAse,F,T,F,F
HIV1A1,HIV1,Retroviridae,T,F,T,F,F,T,F,RT,RT,F,T,F,F
HIV1A1,HIV1,Retroviridae,T,F,T,F,F,T,F,Tat,Tat,F,F,F,F
HIV1A1,HIV1,Retroviridae,T,F,T,F,F,T,F,Vif,Vif,F,F,F,F
HIV1A1,HIV1,Retroviridae,T,F,T,F,F,T,F,Vpr,Vpr,F,F,F,F
HIV1A1,HIV1,Retroviridae,T,F,T,F,F,T,F,Vpu,Vpu,F,F,F,F
HIV2,HIV2,Retroviridae,T,F,T,F,F,T,F,gag,Gag,F,F,F,T
HIV2,HIV2,Retroviridae,T,F,T,F,F,T,F,gp120,gp120,T,F,F,T
HIV2,HIV2,Retroviridae,T,F,T,F,F,T,F,gp41,gp41,T,F,F,T
HIV2,HIV2,Retroviridae,T,F,T,F,F,T,F,Integrase,Int,F,F,F,F
HIV2,HIV2,Retroviridae,T,F,T,F,F,T,F,nef,Nef,F,F,F,F
HIV2,HIV2,Retroviridae,T,F,T,F,F,T,F,PR,PR,F,F,T,F
HIV2,HIV2,Retroviridae,T,F,T,F,F,T,F,RNAse,RNAse,F,T,F,F
HIV2,HIV2,Retroviridae,T,F,T,F,F,T,F,RT,RT,F,T,F,F
HIV2,HIV2,Retroviridae,T,F,T,F,F,T,F,tat,Tat,F,F,F,F
HIV2,HIV2,Retroviridae,T,F,T,F,F,T,F,vif,Vif,F,F,F,F
HIV2,HIV2,Retroviridae,T,F,T,F,F,T,F,vpr,Vpr,F,F,F,F
HIV2,HIV2,Retroviridae,T,F,T,F,F,T,F,vpx,Vpx,F,F,F,F
IAVH9N2,IAV,Orthomyxoviridae,T,F,F,F,F,T,F,HA,HA,T,F,F,T
IAVH9N2,IAV,Orthomyxoviridae,T,F,F,F,F,T,F,M1,M1,F,F,F,T
IAVH9N2,IAV,Orthomyxoviridae,T,F,F,F,F,T,F,M2,M2,T,F,F,T
IAVH9N2,IAV,Orthomyxoviridae,T,F,F,F,F,T,F,NA,NA,T,F,F,T
IAVH9N2,IAV,Orthomyxoviridae,T,F,F,F,F,T,F,NP,NP,F,F,F,T
IAVH9N2,IAV,Orthomyxoviridae,T,F,F,F,F,T,F,NS1,NS1,F,F,F,F
