name_ncbi,family,genus,order
Human alphaherpesvirus 3,Herpesviridae,Varicellovirus,Herpesvirales
Human papillomavirus type 6b,Papillomaviridae,Alphapapillomavirus,Zurhausenvirales
Human papillomavirus type 16,Papillomaviridae,Alphapapillomavirus,Zurhausenvirales
Human papillomavirus type 53,Papillomaviridae,Alphapapillomavirus,Zurhausenvirales
Cowden I virus,Caliciviridae,Sapovirus,Picornavirales
Mumps orthorubulavirus,Paramyxoviridae,Orthorubulavirus,Mononegavirales
Rabies lyssavirus,Rhabdoviridae,Lyssavirus,Mononegavirales
Human orthopneumovirus,Pneumoviridae,Orthopneumovirus,Mononegavirales
Measles morbillivirus,Paramyxoviridae,Morbillivirus,Mononegavirales
Bovine coronavirus,Coronaviridae,Betacoronavirus,Nidovirales
Human immunodeficiency virus 1,Retroviridae,Lentivirus,Ortervirales
Hepatitis delta virus,Kolmioviridae,Deltavirus,incertae sedis
Chikungunya virus,Togaviridae,Alphavirus,Martellivirales
Lassa mammarenavirus,Arenaviridae,Mammarenavirus,Bunyavirales
Enterovirus C,Picornaviridae,Enterovirus,Picornavirales
Enterovirus A,Picornaviridae,Enterovirus,Picornavirales
Enterovirus B,Picornaviridae,Enterovirus,Picornavirales
Eastern equine encephalitis virus,Togaviridae,Alphavirus,Martellivirales
Sindbis virus,Togaviridae,Alphavirus,Martellivirales
Enterovirus D,Picornaviridae,Enterovirus,Picornavirales
Simian immunodeficiency virus SIV-mnd 2,Retroviridae, Lentivirus,Ortervirales
Japanese encephalitis virus,Flaviviridae,Flavivirus,Amarillovirales
West Nile virus,Flaviviridae,Flavivirus,Amarillovirales
Bovine viral diarrhea virus 1,Flaviviridae,Pestivirus,Amarillovirales
Bovine leukemia virus,Retroviridae,Deltaretrovirus,Ortervirales
SARS coronavirus Tor2,Coronaviridae,Betacoronavirus,Nidovirales
Hantaan orthohantavirus,Hantaviridae,Orthohantavirus,Bunyavirales
Crimean-Congo hemorrhagic fever orthonairovirus,Nairoviridae,Orthonairovirus,Bunyavirales
Human T-cell leukemia virus type I,Retroviridae,Deltaretrovirus,Ortervirales
Human herpesvirus 4 type 2,Herpesviridae, Lymphocryptovirus,Herpesvirales
Human betaherpesvirus 5,Herpesviridae,Cytomegalovirus,Herpesvirales
Rift Valley fever virus,Phenuiviridae,Phlebovirus,Bunyavirales
SFTS virus HB29,Phenuiviridae,Bandavirus,Bunyavirales
Middle East respiratory syndrome-related coronavirus,Coronaviridae,Betacoronavirus,Nidovirales
Hepatitis B virus,Hepadnaviridae,Orthohepadnavirus,Blubervirales
Zika virus,Flaviviridae,Flavivirus,Amarillovirales
Hepatitis C virus genotype 7,Flaviviridae,Hepacivirus,Amarillovirales
Simian Agent 10,Paramyxoviridae,Respirovirus,Mononegavirales
Bovine viral diarrhea virus 2,Flaviviridae,Pestivirus,Amarillovirales
Human metapneumovirus,Pneumoviridae,Metapneumovirus,Mononegavirales
Duck coronavirus,Coronaviridae,Gammacoronavirus,Nidovirales
Peste des petits ruminants virus,Paramyxoviridae,Morbillivirus,Mononegavirales
Alphapapillomavirus 7,Papillomaviridae,Alphapapillomavirus,Mononegavirales
JC polyomavirus,Polyomaviridae,Betapolyomavirus,Mononegavirales
Chicken anemia virus,Anelloviridae,Gyrovirus,incertae sedis
Orthohepevirus A,Hepeviridae,Orthohepevirus,Hepelivirales
Hepatovirus A,Picornaviridae,Hepatovirus,Picornavirales
Porcine enterovirus 9,Picornaviridae,Enterovirus,Picornavirales
Porcine circovirus 2,Circoviridae,Circovirus,Cirlivirales
Human mastadenovirus D,Adenoviridae,Mastadenovirus,Rowavirales
Human mastadenovirus B,Adenoviridae,Mastadenovirus,Rowavirales
Rotavirus A,Reoviridae,Rotavirus,Reovirales
Rotavirus C,Reoviridae,Rotavirus,Reovirales
Human polyomavirus 1,Polyomaviridae,Betapolyomavirus,Sepolyvirales
