Family,DNA 
Adenoviridae,TRUE
Anelloviridae,TRUE
Arenaviridae,FALSE
Caliciviridae,FALSE
Circoviridae,TRUE
Coronaviridae,FALSE
Flaviviridae,FALSE
Hantaviridae,FALSE
Hepadnaviridae,TRUE
Hepeviridae,FALSE
Herpesviridae,TRUE
Kolmioviridae,FALSE
Nairoviridae,FALSE
Papillomaviridae,TRUE
Paramyxoviridae,FALSE
Phenuiviridae,FALSE
Picornaviridae,FALSE
Pneumoviridae,FALSE
Polyomaviridae,TRUE 
Reoviridae,FALSE
Retroviridae,FALSE
Rhabdoviridae,FALSE
Togaviridae,FALSE
Orthornavirae,FALSE
