gene,species,genus,family,order,class,phylum,kingdom
NP_051035.1, Sapporo virus, Sapovirus, Caliciviridae, Picornavirales, Pisoniviricetes, Pisuviricota, Orthornavirae
NP_051036.1, Sapporo virus, Sapovirus, Caliciviridae, Picornavirales, Pisoniviricetes, Pisuviricota, Orthornavirae
NP_040124.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040125.2,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040126.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040126.1,Human herpesvirus 3, Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040127.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040127.1,Human herpesvirus 3, Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040128.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040128.1,Human herpesvirus 3, Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040129.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040130.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040130.1,Human herpesvirus 3, Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040131.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040132.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040133.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
NP_040134.1,,Varicellovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
