virus,abbrev,protein,accession,refseq_coords
Rotavirus A,RotaA,VP6,NC_011509,23_1217
Rotavirus A,RotaA,VP7,NC_011503,48_1029
Rotavirus A,RotaA,NSP1,NC_011500,30_1521
Rotavirus A,RotaA,VP1,NC_011507,18_3285
Rotavirus A,RotaA,NSP2,NC_011502,46_1000
Rotavirus A,RotaA,VP2,NC_011506,16_2665
Rotavirus A,RotaA,outer capsid spike protein VP4,NC_011510,9_2340
Rotavirus A,RotaA,NSP5,NC_011505,21_618
Rotavirus A,RotaA,NSP6,NC_011505,79_358
Rotavirus A,RotaA,NSP3,NC_011501,25_973
Rotavirus A,RotaA,NSP4,NC_011504,41_569
Rotavirus A,RotaA,VP3,NC_011508,49_2557
Foveavirus mali,Foveavirus,RNA-dependent RNA polymerase,NC_003462,59_6611
Foveavirus mali,Foveavirus,ORF2,NC_003462,6710_7382
Foveavirus mali,Foveavirus,ORF3,NC_003462,7383_7746
Foveavirus mali,Foveavirus,ORF4,NC_003462,7654_7867
Foveavirus mali,Foveavirus,coat protein,NC_003462,7955_9200
Human respiratory syncytial virus A,rsv,non-structural protein 1 (1C),NC_001803,98_518
Human respiratory syncytial virus A,rsv,non-structural protein 2 (1B),NC_001803,627_1002
Human respiratory syncytial virus A,rsv,Nucleoprotein (N),NC_001803,1139_2315
Human respiratory syncytial virus A,rsv,Phosphoprotein (P),NC_001803,2347_3073
Human respiratory syncytial virus A,rsv,Matrix protein (M),NC_001803,3232_4003
Human respiratory syncytial virus A,rsv,Small hydrophobic protein (SH),NC_001803,4273_4468
Human respiratory syncytial virus A,rsv,Attachment glycoprotein (G),NC_001803,4658_5555
Human respiratory syncytial virus A,rsv,Fusion protein (F),NC_001803,5631_7356
Human respiratory syncytial virus A,rsv,matrix (M2/22K),NC_001803,7575_8160
Human respiratory syncytial virus A,rsv,Polymerase (L),NC_001803,8467_14965
Influenza B virus (B/Lee/1940),IBV,polymerase PB2,NC_002205,0_2313
Influenza B virus (B/Lee/1940),IBV,polymerase PB1,NC_002204,20_2279
Influenza B virus (B/Lee/1940),IBV,NB protein,NC_002209,46_349
Influenza B virus (B/Lee/1940),IBV,neuraminidase,NC_002209,53_1454
