From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (GO)	Gene Ontology IDs	Gene Ontology (molecular function)	Gene Ontology (cellular component)	Keyword ID	Keywords	Gene Names (ORF)	Gene Names (primary)	Organism (ID)	Proteomes	Virus hosts	Taxonomic lineage	Taxonomic lineage (Ids)	3D	Helix	Turn	Beta strand	Motif	Zinc finger	Protein families
NP_051035.1	Q9QEJ5	reviewed	POLG_PESV	Genome polyprotein [Cleaved into: Protein p11; Protein p28; NTPase (EC 3.6.1.15) (p35); Protein p32; Viral genome-linked protein (VPg) (p14); Protease-polymerase p70 (Pro-Pol) (EC 2.7.7.48) (EC 3.4.22.66); Capsid protein (CP) (VP1) (p60)]	ORF1	Porcine enteric sapovirus (isolate Swine/United States/Cowden/1980) (Sw/SV/Cowden/1980/US)	2254	DNA replication [GO:0006260]; proteolysis [GO:0006508]; RNA-protein covalent cross-linking [GO:0018144]; transcription, DNA-templated [GO:0006351]; viral RNA genome replication [GO:0039694]	host cell cytoplasm [GO:0030430]; viral capsid [GO:0019028]; ATP binding [GO:0005524]; cysteine-type endopeptidase activity [GO:0004197]; nucleoside-triphosphatase activity [GO:0017111]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; RNA-directed 5'-3' RNA polymerase activity [GO:0003968]; DNA replication [GO:0006260]; proteolysis [GO:0006508]; RNA-protein covalent cross-linking [GO:0018144]; transcription, DNA-templated [GO:0006351]; viral RNA genome replication [GO:0039694]	GO:0003723; GO:0003724; GO:0003968; GO:0004197; GO:0005524; GO:0006260; GO:0006351; GO:0006508; GO:0017111; GO:0018144; GO:0019028; GO:0030430; GO:0039694	ATP binding [GO:0005524]; cysteine-type endopeptidase activity [GO:0004197]; nucleoside-triphosphatase activity [GO:0017111]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; RNA-directed 5'-3' RNA polymerase activity [GO:0003968]	host cell cytoplasm [GO:0030430]; viral capsid [GO:0019028]	KW-0002; KW-0877; KW-0067; KW-0167; KW-0191; KW-0235; KW-1035; KW-0378; KW-0547; KW-0548; KW-0597; KW-0645; KW-0696; KW-0788; KW-0808; KW-0693; KW-0946	3D-structure;Alternative promoter usage;ATP-binding;Capsid protein;Covalent protein-RNA linkage;DNA replication;Host cytoplasm;Hydrolase;Nucleotide-binding;Nucleotidyltransferase;Phosphoprotein;Protease;RNA-directed RNA polymerase;Thiol protease;Transferase;Viral RNA replication;Virion	ORF1		523795		Sus scrofa (Pig) [TaxID: 9823]	Porcine enteric sapovirus (no rank), Sapovirus GIII (no rank), Sapporo virus (species), Sapovirus (genus), Caliciviridae (family), Picornavirales (order), Pisoniviricetes (class), Pisuviricota (phylum), Orthornavirae (kingdom), Riboviria (no rank), Viruses (superkingdom)	106333 (no rank), 515178 (no rank), 95342 (species), 95341 (genus), 11974 (family), 464095 (order), 2732506 (class), 2732408 (phylum), 2732396 (kingdom), 2559587 (no rank), 10239 (superkingdom)	NMR spectroscopy (1)	HELIX 953..966; /evidence="ECO:0007829|PDB:2MXD"; HELIX 972..983; /evidence="ECO:0007829|PDB:2MXD"; HELIX 989..1003; /evidence="ECO:0007829|PDB:2MXD"					
NP_051036.1	Q9QEJ4	reviewed	VP2_PESV	Protein VP2 (Minor capsid protein)	ORF2	Porcine enteric sapovirus (isolate Swine/United States/Cowden/1980) (Sw/SV/Cowden/1980/US)	164		host cell cytoplasm [GO:0030430]	GO:0030430		host cell cytoplasm [GO:0030430]	KW-1035; KW-0946	Host cytoplasm;Virion	ORF2		523795		Sus scrofa (Pig) [TaxID: 9823]	Porcine enteric sapovirus (no rank), Sapovirus GIII (no rank), Sapporo virus (species), Sapovirus (genus), Caliciviridae (family), Picornavirales (order), Pisoniviricetes (class), Pisuviricota (phylum), Orthornavirae (kingdom), Riboviria (no rank), Viruses (superkingdom)	106333 (no rank), 515178 (no rank), 95342 (species), 95341 (genus), 11974 (family), 464095 (order), 2732506 (class), 2732408 (phylum), 2732396 (kingdom), 2559587 (no rank), 10239 (superkingdom)							Sapovirus VP2 family
NP_040124.1	Q6QCQ5	unreviewed	Q6QCQ5_HHV3	Membrane protein V1 (ORF1) (Putative transmembrane protein)	ORF1 HHV3_E_SVETAgp02 HHV3_gp02 HHV3gp02	Human herpesvirus 3 (HHV-3) (Varicella-zoster virus)	108		integral component of membrane [GO:0016021]	GO:0016021		integral component of membrane [GO:0016021]	KW-0472; KW-0812; KW-1133	Membrane;Transmembrane;Transmembrane helix	HHV3_E_SVETAgp02 HHV3_gp02 HHV3gp02	ORF1	10335	UP000095950: Genome; UP000099478: Genome; UP000099741: Genome; UP000101337: Genome; UP000101424: Genome; UP000102159: Genome; UP000110837: Genome; UP000110955: Genome; UP000111269: Genome; UP000114541: Genome; UP000116718: Genome; UP000118112: Genome; UP000118125: Genome; UP000118182: Genome; UP000119588: Genome; UP000119961: Genome; UP000124104: Genome; UP000132092: Genome; UP000132595: Genome; UP000141430: Genome; UP000147087: Genome; UP000148581: Genome; UP000162445: Genome; UP000172922: Genome; UP000175290: Genome; UP000181070: Genome; UP000181213: Genome	Homo sapiens (Human) [TaxID: 9606]	Varicellovirus (genus), Alphaherpesvirinae (subfamily), Herpesviridae (family), Herpesvirales (order), Herviviricetes (class), Peploviricota (phylum), Heunggongvirae (kingdom), Duplodnaviria (no rank), Viruses (superkingdom)	10319 (genus), 10293 (subfamily), 10292 (family), 548681 (order), 2731363 (class), 2731361 (phylum), 2731360 (kingdom), 2731341 (no rank), 10239 (superkingdom)							
NP_040125.2	A0A2R4QFN8	unreviewed	A0A2R4QFN8_HHV3	Myristylated tegument protein CIRC (ORF2)	ORF2 HHV3_gp03	Human herpesvirus 3 (HHV-3) (Varicella-zoster virus)	221								HHV3_gp03	ORF2	10335		Homo sapiens (Human) [TaxID: 9606]	Varicellovirus (genus), Alphaherpesvirinae (subfamily), Herpesviridae (family), Herpesvirales (order), Herviviricetes (class), Peploviricota (phylum), Heunggongvirae (kingdom), Duplodnaviria (no rank), Viruses (superkingdom)	10319 (genus), 10293 (subfamily), 10292 (family), 548681 (order), 2731363 (class), 2731361 (phylum), 2731360 (kingdom), 2731341 (no rank), 10239 (superkingdom)							
NP_040126.1	Q6QCQ3	unreviewed	Q6QCQ3_HHV3	Nuclear protein UL55 (ORF 3) (ORF3)	ORF3 ORF 3 HHV3_E_SVETAgp04 HHV3_gp04 HHV3gp04 HHV3M2gp04	Human herpesvirus 3 (HHV-3) (Varicella-zoster virus)	179	viral life cycle [GO:0019058]	host cell nuclear matrix [GO:0044204]; viral tegument [GO:0019033]; viral life cycle [GO:0019058]	GO:0019033; GO:0019058; GO:0044204		host cell nuclear matrix [GO:0044204]; viral tegument [GO:0019033]	KW-1048	Host nucleus	HHV3_E_SVETAgp04 HHV3_gp04 HHV3gp04 HHV3M2gp04	ORF3	10335	UP000095950: Genome; UP000099478: Genome; UP000099741: Genome; UP000100257: Genome; UP000101337: Genome; UP000101424: Genome; UP000102159: Genome; UP000103704: Genome; UP000109814: Genome; UP000110837: Genome; UP000110955: Genome; UP000111269: Genome; UP000114541: Genome; UP000116718: Genome; UP000116910: Genome; UP000118112: Genome; UP000118125: Genome; UP000118182: Genome; UP000119103: Genome; UP000119588: Genome; UP000119961: Genome; UP000121535: Genome; UP000121874: Genome; UP000124104: Genome; UP000125218: Genome; UP000132595: Genome; UP000138227: Genome; UP000138315: Genome; UP000138339: Genome; UP000140732: Genome; UP000141430: Genome; UP000141990: Genome; UP000145398: Genome; UP000147087: Genome; UP000148103: Genome; UP000148368: Genome; UP000148581: Genome; UP000154414: Genome; UP000157471: Genome; UP000159019: Genome; UP000162445: Genome; UP000163083: Genome; UP000172922: Genome; UP000175290: Genome; UP000181070: Genome; UP000181213: Genome	Homo sapiens (Human) [TaxID: 9606]	Varicellovirus (genus), Alphaherpesvirinae (subfamily), Herpesviridae (family), Herpesvirales (order), Herviviricetes (class), Peploviricota (phylum), Heunggongvirae (kingdom), Duplodnaviria (no rank), Viruses (superkingdom)	10319 (genus), 10293 (subfamily), 10292 (family), 548681 (order), 2731363 (class), 2731361 (phylum), 2731360 (kingdom), 2731341 (no rank), 10239 (superkingdom)							Alphaherpesvirinae HHV-1 UL55 family
NP_040126.1	Q4JQX2	reviewed	TEG6_VZVO	Tegument protein UL55 homolog	ORF3	Varicella-zoster virus (strain Oka vaccine) (HHV-3) (Human herpesvirus 3)	179	viral life cycle [GO:0019058]	host cell nuclear matrix [GO:0044204]; viral tegument [GO:0019033]; viral life cycle [GO:0019058]	GO:0019033; GO:0019058; GO:0044204		host cell nuclear matrix [GO:0044204]; viral tegument [GO:0019033]	KW-1048; KW-0946; KW-0920	Host nucleus;Virion;Virion tegument	ORF3		341980	UP000002603: Genome; UP000008504: Genome; UP000008505: Genome; UP000008506: Genome	Homo sapiens (Human) [TaxID: 9606]	Human herpesvirus 3 (species), Varicellovirus (genus), Alphaherpesvirinae (subfamily), Herpesviridae (family), Herpesvirales (order), Herviviricetes (class), Peploviricota (phylum), Heunggongvirae (kingdom), Duplodnaviria (no rank), Viruses (superkingdom)	10335 (species), 10319 (genus), 10293 (subfamily), 10292 (family), 548681 (order), 2731363 (class), 2731361 (phylum), 2731360 (kingdom), 2731341 (no rank), 10239 (superkingdom)							Alphaherpesvirinae HHV-1 UL55 family
NP_040127.1	Q6QCQ2	unreviewed	Q6QCQ2_HHV3	Gene expression post-transcriptional regulator (Multifunctional expression regulator) (ORF 4) (ORF4) (Post-transcriptional regulator) (Post-transcriptional regulator of gene expression) (Transactivator)	ORF4 ORF 4 HHV3_E_SVETAgp05 HHV3_gp05 HHV3gp05 HHV3M2gp05	Human herpesvirus 3 (HHV-3) (Varicella-zoster virus)	452	regulation of transcription, DNA-templated [GO:0006355]	cytoplasm [GO:0005737]; host cell cytoplasm [GO:0030430]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; regulation of transcription, DNA-templated [GO:0006355]	GO:0003723; GO:0005737; GO:0006355; GO:0030430; GO:0046872	metal ion binding [GO:0046872]; RNA binding [GO:0003723]	cytoplasm [GO:0005737]; host cell cytoplasm [GO:0030430]	KW-0010; KW-0244; KW-1035; KW-0479; KW-0694; KW-0862; KW-0863	Activator;Early protein;Host cytoplasm;Metal-binding;RNA-binding;Zinc;Zinc-finger	HHV3_E_SVETAgp05 HHV3_gp05 HHV3gp05 HHV3M2gp05	ORF4	10335	UP000095950: Genome; UP000099478: Genome; UP000099741: Genome; UP000100257: Genome; UP000101337: Genome; UP000101424: Genome; UP000102159: Genome; UP000103704: Genome; UP000109814: Genome; UP000110837: Genome; UP000110955: Genome; UP000111269: Genome; UP000114541: Genome; UP000116718: Genome; UP000116910: Genome; UP000118042: Genome; UP000118112: Genome; UP000118125: Genome; UP000118182: Genome; UP000119103: Genome; UP000119588: Genome; UP000119961: Genome; UP000121535: Genome; UP000124104: Genome; UP000125218: Genome; UP000132092: Genome; UP000132595: Genome; UP000138227: Genome; UP000138315: Genome; UP000138339: Genome; UP000140732: Genome; UP000141430: Genome; UP000141990: Genome; UP000145398: Genome; UP000147087: Genome; UP000148103: Genome; UP000148368: Genome; UP000148581: Genome; UP000154414: Genome; UP000157471: Genome; UP000159019: Genome; UP000162445: Genome; UP000163083: Genome; UP000172922: Genome; UP000175290: Genome; UP000181070: Genome; UP000181213: Genome	Homo sapiens (Human) [TaxID: 9606]	Varicellovirus (genus), Alphaherpesvirinae (subfamily), Herpesviridae (family), Herpesvirales (order), Herviviricetes (class), Peploviricota (phylum), Heunggongvirae (kingdom), Duplodnaviria (no rank), Viruses (superkingdom)	10319 (genus), 10293 (subfamily), 10292 (family), 548681 (order), 2731363 (class), 2731361 (phylum), 2731360 (kingdom), 2731341 (no rank), 10239 (superkingdom)							HHV-1 ICP27 protein family
NP_040127.1	Q4JQX1	reviewed	ICP27_VZVO	mRNA export factor ICP27 homolog (Immediate-early protein 4) (IE4)	ORF4	Varicella-zoster virus (strain Oka vaccine) (HHV-3) (Human herpesvirus 3)	452	regulation of transcription, DNA-templated [GO:0006355]	host cell cytoplasm [GO:0030430]; host cell nucleus [GO:0042025]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; regulation of transcription, DNA-templated [GO:0006355]	GO:0003723; GO:0006355; GO:0030430; GO:0042025; GO:0046872	metal ion binding [GO:0046872]; RNA binding [GO:0003723]	host cell cytoplasm [GO:0030430]; host cell nucleus [GO:0042025]	KW-0010; KW-0244; KW-1035; KW-1048; KW-0945; KW-0479; KW-0694; KW-0804; KW-0805; KW-0862; KW-0863	Activator;Early protein;Host cytoplasm;Host nucleus;Host-virus interaction;Metal-binding;RNA-binding;Transcription;Transcription regulation;Zinc;Zinc-finger	ORF4		341980	UP000002603: Genome; UP000008504: Genome; UP000008505: Genome; UP000008506: Genome	Homo sapiens (Human) [TaxID: 9606]	Human herpesvirus 3 (species), Varicellovirus (genus), Alphaherpesvirinae (subfamily), Herpesviridae (family), Herpesvirales (order), Herviviricetes (class), Peploviricota (phylum), Heunggongvirae (kingdom), Duplodnaviria (no rank), Viruses (superkingdom)	10335 (species), 10319 (genus), 10293 (subfamily), 10292 (family), 548681 (order), 2731363 (class), 2731361 (phylum), 2731360 (kingdom), 2731341 (no rank), 10239 (superkingdom)						ZN_FING 335..426; /note="CHC2-type"; /evidence="ECO:0000250|UniProtKB:P10238"	HHV-1 ICP27 protein family
NP_040128.1	Q6QCQ1	unreviewed	Q6QCQ1_HHV3	Envelope glycoprotein K	ORF5 ORF 5 HHV3_E_SVETAgp06 HHV3_gp06 HHV3gp06 HHV3M2gp06	Human herpesvirus 3 (HHV-3) (Varicella-zoster virus)	340	fusion of viral membrane with host outer nuclear membrane [GO:0039700]; positive regulation of syncytium formation by virus [GO:0060141]	host cell endosome membrane [GO:0044175]; host cell Golgi membrane [GO:0044178]; host cell plasma membrane [GO:0020002]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; viral envelope [GO:0019031]; fusion of viral membrane with host outer nuclear membrane [GO:0039700]; positive regulation of syncytium formation by virus [GO:0060141]	GO:0005886; GO:0016021; GO:0019031; GO:0020002; GO:0039700; GO:0044175; GO:0044178; GO:0060141		host cell endosome membrane [GO:0044175]; host cell Golgi membrane [GO:0044178]; host cell plasma membrane [GO:0020002]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; viral envelope [GO:0019031]	KW-1040; KW-1043; KW-0472; KW-1180; KW-0812; KW-1133; KW-0261; KW-1181; KW-1188; KW-0946	Host Golgi apparatus;Host membrane;Membrane;Syncytium formation induced by viral infection;Transmembrane;Transmembrane helix;Viral envelope protein;Viral primary envelope fusion with host outer nuclear membrane;Viral release from host cell;Virion	HHV3_E_SVETAgp06 HHV3_gp06 HHV3gp06 HHV3M2gp06	ORF5	10335	UP000095950: Genome; UP000099478: Genome; UP000099741: Genome; UP000100257: Genome; UP000101337: Genome; UP000101424: Genome; UP000102159: Genome; UP000103704: Genome; UP000109814: Genome; UP000110837: Genome; UP000110955: Genome; UP000111269: Genome; UP000114541: Genome; UP000116718: Genome; UP000116910: Genome; UP000118042: Genome; UP000118182: Genome; UP000119961: Genome; UP000121535: Genome; UP000121874: Genome; UP000124104: Genome; UP000125218: Genome; UP000132595: Genome; UP000138227: Genome; UP000138315: Genome; UP000138339: Genome; UP000140732: Genome; UP000141430: Genome; UP000141990: Genome; UP000145398: Genome; UP000147087: Genome; UP000148103: Genome; UP000148368: Genome; UP000148581: Genome; UP000154414: Genome; UP000157471: Genome; UP000159019: Genome; UP000162445: Genome; UP000163083: Genome; UP000172922: Genome; UP000181070: Genome; UP000181213: Genome	Homo sapiens (Human) [TaxID: 9606]	Varicellovirus (genus), Alphaherpesvirinae (subfamily), Herpesviridae (family), Herpesvirales (order), Herviviricetes (class), Peploviricota (phylum), Heunggongvirae (kingdom), Duplodnaviria (no rank), Viruses (superkingdom)	10319 (genus), 10293 (subfamily), 10292 (family), 548681 (order), 2731363 (class), 2731361 (phylum), 2731360 (kingdom), 2731341 (no rank), 10239 (superkingdom)							Alphaherpesvirinae glycoprotein K family
NP_040128.1	Q4JQX0	reviewed	GK_VZVO	Envelope glycoprotein K (Syncytial protein)	gK ORF5	Varicella-zoster virus (strain Oka vaccine) (HHV-3) (Human herpesvirus 3)	340	fusion of viral membrane with host outer nuclear membrane [GO:0039700]; positive regulation of syncytium formation by virus [GO:0060141]	host cell endosome membrane [GO:0044175]; host cell Golgi membrane [GO:0044178]; host cell plasma membrane [GO:0020002]; integral component of membrane [GO:0016021]; fusion of viral membrane with host outer nuclear membrane [GO:0039700]; positive regulation of syncytium formation by virus [GO:0060141]	GO:0016021; GO:0020002; GO:0039700; GO:0044175; GO:0044178; GO:0060141		host cell endosome membrane [GO:0044175]; host cell Golgi membrane [GO:0044178]; host cell plasma membrane [GO:0020002]; integral component of membrane [GO:0016021]	KW-0325; KW-1032; KW-1039; KW-1040; KW-1043; KW-0472; KW-0732; KW-1180; KW-0812; KW-1133; KW-1181; KW-1188	Glycoprotein;Host cell membrane;Host endosome;Host Golgi apparatus;Host membrane;Membrane;Signal;Syncytium formation induced by viral infection;Transmembrane;Transmembrane helix;Viral primary envelope fusion with host outer nuclear membrane;Viral release from host cell	ORF5	gK	341980	UP000002603: Genome; UP000008504: Genome; UP000008505: Genome; UP000008506: Genome	Homo sapiens (Human) [TaxID: 9606]	Human herpesvirus 3 (species), Varicellovirus (genus), Alphaherpesvirinae (subfamily), Herpesviridae (family), Herpesvirales (order), Herviviricetes (class), Peploviricota (phylum), Heunggongvirae (kingdom), Duplodnaviria (no rank), Viruses (superkingdom)	10335 (species), 10319 (genus), 10293 (subfamily), 10292 (family), 548681 (order), 2731363 (class), 2731361 (phylum), 2731360 (kingdom), 2731341 (no rank), 10239 (superkingdom)							Alphaherpesvirinae glycoprotein K family
