name,virus,protein,new_name,Length,GRAVY,Aliphatic Index,Instability Index,Stability,Molecular Weight,Aromaticity,Isoelectric Point,Charge at pH 7,protein_classification,Host_type,infection_type,Virus_Family
chikv_6K_protein_step5_consensus,chikv,6K protein,chikv_6K_protein_step5_consensus,53,1.02,134.53,53.28,Unstable,5972.2,0.11,6.15,-0.25,Non_surface,Mosquito,Acute,Togaviridae
chikv_capsid_protein_step5_consensus,chikv,capsid protein,chikv_capsid_protein_step5_consensus,261,-0.98,58.31,40.86,Unstable,29616.85,0.07,10.29,30.99,Non_surface,Mosquito,Acute,Togaviridae
chikv_E1_envelope_glycoprotein_step5_consensus,chikv,E1 envelope glycoprotein,chikv_E1_envelope_glycoprotein_step5_consensus,439,0.02,80.62,37.95,Stable,47414.55,0.09,6.12,-5.24,Surface,Mosquito,Acute,Togaviridae
chikv_E2_envelope_glycoprotein_step5_consensus,chikv,E2 envelope glycoprotein,chikv_E2_envelope_glycoprotein_step5_consensus,416,-0.61,65.34,40.6,Unstable,46399.91,0.07,8.72,9.44,Surface,Mosquito,Acute,Togaviridae
chikv_E3_protein_step5_consensus,chikv,E3 protein,chikv_E3_protein_step5_consensus,64,-0.36,68.59,71.62,Unstable,7332.49,0.06,6.49,-0.5,Surface,Mosquito,Acute,Togaviridae
chikv_mRNA-capping_enzyme_nsp1_step5_consensus,chikv,mRNA-capping enzyme nsp1,chikv_mRNA-capping_enzyme_nsp1_step5_consensus,535,-0.33,80.58,35.91,Stable,59918.95,0.08,7.48,1.38,Non_surface,Mosquito,Acute,Togaviridae
chikv_non-structural_protein_nsp3_step5_consensus,chikv,non-structural protein nsp3,chikv_non-structural_protein_nsp3_step5_consensus,513,-0.6,72.03,43.83,Unstable,57330.17,0.06,8.94,12.31,Non_surface,Mosquito,Acute,Togaviridae
chikv_protease_nsp2_step5_consensus,chikv,protease nsp2,chikv_protease_nsp2_step5_consensus,798,-0.28,85.85,37.32,Stable,89588.87,0.08,9.1,22.82,Non_surface, Mosquito,Acute,Togaviridae
chikv_RNA-directed_RNA_polymerase_nsp4_step5_consensus,chikv,RNA-directed RNA polymerase nsp4,chikv_RNA-directed_RNA_polymerase_nsp4_step5_consensus,592,-0.68,69.19,56.52,Unstable,67452.54,0.09,9.75,35.19,Non_surface, Mosquito,Acute,Togaviridae
chikv_transframe_fusion_protein_step5_consensus,chikv,transframe fusion protein,chikv_transframe_fusion_protein_step5_consensus,76,0.23,100.13,52.31,Unstable,8664.19,0.08,8.28,1.91,Non_surface, Mosquito,Acute,Togaviridae
coxsacki_2A-protein_step5_consensus,coxsacki,2A-protein,coxsacki_2A-protein_step5_consensus,150,-0.23,77.93,39.64,Stable,16506.31,0.1,6.04,-2.76,Non_surface,Human,Acute,Picornaviridae
coxsacki_2B-protein_step5_consensus,coxsacki,2B-protein,coxsacki_2B-protein_step5_consensus,99,0.46,122.12,20.9,Stable,10523.25,0.06,8.08,0.93,Non_surface,Human,Acute,Picornaviridae
coxsacki_2C-protein_step5_consensus,coxsacki,2C-protein,coxsacki_2C-protein_step5_consensus,329,-0.31,83.04,38.25,Stable,37018.02,0.09,8.64,4.77,Non_surface,Human,Acute,Picornaviridae
coxsacki_3A-protein_step5_consensus,coxsacki,3A-protein,coxsacki_3A-protein_step5_consensus,86,0.09,108.72,36.98,Stable,9667.09,0.08,5.76,-1.15,Non_surface,Human,Acute,Picornaviridae
coxsacki_3B-protein_step5_consensus,coxsacki,3B-protein,coxsacki_3B-protein_step5_consensus,22,-0.34,80,31.55,Stable,2284.66,0.05,10.46,3.76,Non_surface,Human,Acute,Picornaviridae
coxsacki_3C-protein_step5_consensus,coxsacki,3C-protein,coxsacki_3C-protein_step5_consensus,183,-0.07,93.11,28.21,Stable,20091.87,0.07,8.01,1.28,Non_surface,Human,Acute,Picornaviridae
coxsacki_3D-protein_step5_consensus,coxsacki,3D-protein,coxsacki_3D-protein_step5_consensus,462,-0.33,82.1,40.73,Unstable,52518.22,0.11,5.91,-8.02,Non_surface,Human,Acute,Picornaviridae
coxsacki_VP1-protein_step5_consensus,coxsacki,VP1-protein,coxsacki_VP1-protein_step5_consensus,297,-0.37,69.63,41.15,Unstable,33046.02,0.1,8.32,2.26,Surface,Human,Acute,Picornaviridae
coxsacki_VP2-protein_step5_consensus,coxsacki,VP2-protein,coxsacki_VP2-protein_step5_consensus,254,0.02,84.45,26.04,Stable,27566.92,0.1,5.38,-6.99,Surface,Human,Acute,Picornaviridae
coxsacki_VP3-protein_step5_consensus,coxsacki,VP3-protein,coxsacki_VP3-protein_step5_consensus,242,-0.02,83.84,30.38,Stable,26634.09,0.1,5.44,-5.74,Surface,Human,Acute,Picornaviridae
coxsacki_VP4-protein_step5_consensus,coxsacki,VP4-protein,coxsacki_VP4-protein_step5_consensus,69,-0.88,43.91,51.86,Unstable,7543.16,0.07,5.45,-2.32,Surface,Human,Acute,Picornaviridae
dengue2_anchored_capsid_protein_ancC_step5_consensus,dengue2,anchored capsid protein ancC,dengue2_anchored_capsid_protein_ancC_step5_consensus,114,-0.18,97.54,53.63,Unstable,13208.97,0.06,12,23.5,Non_surface, Mosquito,Acute,Flaviviridae
dengue2_capsid_protein_C_step5_consensus,dengue2,capsid protein C,dengue2_capsid_protein_C_step5_consensus,100,-0.48,90.7,58.79,Unstable,11765.09,0.07,12,23.5,Non_surface, Mosquito,Acute,Flaviviridae
dengue2_envelope_protein_E_step5_consensus,dengue2,envelope protein E,dengue2_envelope_protein_E_step5_consensus,495,-0.09,85.01,27.8,Stable,54241.2,0.07,7.91,2.41,Surface, Mosquito,Acute,Flaviviridae
dengue2_membrane_glycoprotein_M_step5_consensus,dengue2,membrane glycoprotein M,dengue2_membrane_glycoprotein_M_step5_consensus,75,0.44,102.8,43.95,Unstable,8364.75,0.09,8.39,0.82,Non_surface, Mosquito,Acute,Flaviviridae
dengue2_membrane_glycoprotein_precursor_prM_step5_consensus,dengue2,membrane glycoprotein precursor prM,dengue2_membrane_glycoprotein_precursor_prM_step5_consensus,166,-0.18,78.13,45.68,Unstable,18850.54,0.08,6.4,-1.66,Non_surface, Mosquito,Acute,Flaviviridae
dengue2_nonstructural_protein_NS1_step5_consensus,dengue2,nonstructural protein NS1,dengue2_nonstructural_protein_NS1_step5_consensus,352,-0.52,70.91,41.92,Unstable,39928.01,0.09,6.41,-2.42,Non_surface, Mosquito,Acute,Flaviviridae
dengue2_nonstructural_protein_NS2A._step5_consensus,dengue2,nonstructural protein NS2A,dengue2_nonstructural_protein_NS2A._step5_consensus,218,0.72,128.35,27.99,Stable,23622.27,0.05,9.82,7.93,Non_surface, Mosquito,Acute,Flaviviridae
